row_id,live_id,content,label,base_probability,base_prediction,qwen_routed,qwen_label,gate_prediction,prediction_changed,corrected,harmed
douyin-test-000010,56697889278,看着挺新鲜的,1,0.352960205078125,0,True,1,1,True,True,False
douyin-test-000011,56697889278,不喜欢生吃,0,0.2404449462890625,0,True,0,0,False,False,False
douyin-test-000016,56697889278,刺身，我喜欢现买现吃,0,0.73037109375,1,True,1,1,False,False,False
douyin-test-000019,56697889278,生的鲜嫩呀,0,0.592431640625,1,True,0,0,True,True,False
douyin-test-000028,56697889278,视频里面的北面衣服咋买的,1,0.2751953125,0,True,1,1,True,True,False
douyin-test-000029,56697889278,前面有人说客服说有蘸料的,0,0.44852294921875,0,True,0,0,False,False,False
douyin-test-000035,56697889278,我要儿童钙镁锌，熙宝！,1,0.6853515625,1,True,1,1,False,False,False
douyin-test-000036,56697889278,中午吃的什么你们,0,0.3747802734375,0,True,0,0,False,False,False
douyin-test-000046,56697889278,好听好听,0,0.61396484375,1,True,0,0,True,True,False
douyin-test-000052,56697889278,这个好,1,0.59031982421875,1,True,0,0,True,False,True
douyin-test-000054,56697889278,一袋10个，一共40,0,0.622900390625,1,True,1,1,False,False,False
douyin-test-000055,56697889278,不常见,0,0.32706298828125,0,True,0,0,False,False,False
douyin-test-000057,56697889278,一单40个,0,0.41668701171875,0,True,0,0,False,False,False
douyin-test-000060,56697889278,一点都不苦，香,1,0.5053955078125,1,True,0,0,True,False,True
douyin-test-000062,56697889278,现在发型好看,0,0.7,1,True,0,0,True,True,False
douyin-test-000073,56697889278,帅气,0,0.22559814453125,0,True,0,0,False,False,False
douyin-test-000086,56697889278,放点枸杞，红枣,0,0.70947265625,1,True,0,0,True,True,False
douyin-test-000087,56697889278,怎么做的？？？,0,0.5475830078125,1,True,1,1,False,False,False
douyin-test-000090,56697889278,苹果是要1元运费,0,0.71376953125,1,True,1,1,False,False,False
douyin-test-000095,56697889278,折耳根好吃的很呀,1,0.762451171875,1,True,1,1,False,False,False
douyin-test-000098,56697889278,怎么做的,1,0.30911865234375,0,True,1,1,True,True,False
douyin-test-000105,56697889278,陕西的苹果都很好,1,0.78974609375,1,True,0,0,True,False,True
douyin-test-000109,56697889278,看看小果有多大,1,0.704052734375,1,True,1,1,False,False,False
douyin-test-000119,56697889278,主播看一下烤奶，刚民吃的那个？,1,0.812841796875,1,True,1,1,False,False,False
douyin-test-000122,56697889278,下单一号商品,0,0.658544921875,1,True,1,1,False,False,False
douyin-test-000133,56697889278,青州弥河银瓜最好吃！,0,0.652685546875,1,True,1,1,False,False,False
douyin-test-000140,56697889278,闯子吗,0,0.622900390625,1,True,0,0,True,True,False
douyin-test-000142,56697889278,这个皮也能吃吗,1,0.58350830078125,1,True,1,1,False,False,False
douyin-test-000144,56697889278,皮能吃,0,0.43651123046875,0,True,1,1,True,False,True
douyin-test-000149,56697889278,数字代表什么意思？,0,0.633056640625,1,True,1,1,False,False,False
douyin-test-000153,56697889278,看哈里面那件白色衣服,1,0.6470703125,1,True,1,1,False,False,False
douyin-test-000154,56697889278,主要是减肥,0,0.586083984375,1,True,0,0,True,True,False
douyin-test-000155,56697889278,没货72,1,0.18341064453125,0,True,1,1,True,True,False
douyin-test-000157,56697889278,好吃的！以经没货了！,1,0.49886474609375,0,True,1,1,True,True,False
douyin-test-000170,56697889278,小贝那个小的保温杯,1,0.6776611328125,1,True,1,1,False,False,False
douyin-test-000171,56697889278,以前卖的纯碱小馒头，馍片什么时候上，橱窗里也没有,1,0.592333984375,1,True,1,1,False,False,False
douyin-test-000172,56697889278,粘玉米,1,0.759814453125,1,True,1,1,False,False,False
douyin-test-000181,56697889278,请问宿舍没冰箱能放多久,1,0.38868408203125,0,True,1,1,True,True,False
douyin-test-000183,56697889278,蒸的时候袋子去掉蒸,0,0.3069580078125,0,True,1,1,True,False,True
douyin-test-000187,56697889278,爱吃,1,0.74873046875,1,True,0,0,True,False,True
douyin-test-000195,56697889278,会不会老？,1,0.56500244140625,1,True,1,1,False,False,False
douyin-test-000204,56697889278,8根的没了,1,0.2755859375,0,True,1,1,True,True,False
douyin-test-000207,56697889278,塑料有毒,0,0.734033203125,1,True,0,0,True,True,False
douyin-test-000208,56697889278,塑料袋加热有毒,0,0.59345703125,1,True,1,1,False,False,False
douyin-test-000212,56697889278,糯玉米蒸煮15分钟,0,0.74111328125,1,True,1,1,False,False,False
douyin-test-000213,56697889278,就喜欢微波炉热出来的有嚼劲的,0,0.592138671875,1,True,1,1,False,False,False
douyin-test-000217,56697889278,能科普一下，为什么现在玉米都是卖熟的啊，不直接卖生的啊,0,0.2069580078125,0,True,1,1,True,False,True
douyin-test-000218,56697889278,生的？,1,0.5255859375,1,True,1,1,False,False,False
douyin-test-000220,56697889278,收到要放冰箱冷藏吗,1,0.64990234375,1,True,1,1,False,False,False
douyin-test-000226,56697889278,云南专场结束了吗？,0,0.1892578125,0,True,1,1,True,False,True
douyin-test-000231,56697889278,去袋子，蒸10多分钟，好吃,0,0.7826171875,1,True,1,1,False,False,False
douyin-test-000232,56697889278,会不会老,1,0.44796142578125,0,True,0,0,False,False,False
douyin-test-000235,56697889278,你们今年还卖西湖龙井茶吗？,1,0.6329345703125,1,True,1,1,False,False,False
douyin-test-000238,56697889278,去掉袋子,0,0.44774169921875,0,True,0,0,False,False,False
douyin-test-000260,56697889278,长南瓜,1,0.2241943359375,0,True,0,0,False,False,False
douyin-test-000261,56697889278,南南瓜和北南瓜,1,0.807421875,1,True,1,1,False,False,False
douyin-test-000264,56697889278,想买东北油豆角,1,0.37691650390625,0,True,1,1,True,True,False
douyin-test-000267,56697889278,小孩子很喜欢吃,0,0.3986572265625,0,True,1,1,True,False,True
douyin-test-000276,56697889278,现在不是流行哈佛汤,0,0.3453857421875,0,True,0,0,False,False,False
douyin-test-000277,56697889278,怎么有两种发货时间？,1,0.604150390625,1,True,1,1,False,False,False
douyin-test-000288,56697889278,郁金香瓜到了，好吃,0,0.69912109375,1,True,1,1,False,False,False
douyin-test-000292,56697889278,切开,0,0.5614990234375,1,True,0,0,True,True,False
douyin-test-000297,56697889278,穿厚点贝贝,0,0.33255615234375,0,True,0,0,False,False,False
douyin-test-000298,56697889278,拿筷子插一下,0,0.278369140625,0,True,1,1,True,False,True
douyin-test-000299,56697889278,苹果没有了,1,0.667333984375,1,True,1,1,False,False,False
douyin-test-000300,56697889278,48小时内发货的品质和5天内发货的品质是一样的吗？,1,0.7998046875,1,True,1,1,False,False,False
douyin-test-000312,56697889278,边炒边水，干煸四季豆,0,0.2456756591796875,0,True,0,0,False,False,False
douyin-test-000313,56697889278,玫瑰,1,0.7642578125,1,True,0,0,True,False,True
douyin-test-000324,56697889278,河南吃法,0,0.80703125,1,True,1,1,False,False,False
douyin-test-000326,56697889278,清远鸡,1,0.219012451171875,0,True,1,1,True,True,False
douyin-test-000328,56697889278,在哪儿发出？,1,0.7552978515625,1,True,1,1,False,False,False
douyin-test-000333,56697889278,我放了油麻椒，葱姜蒜，然后用这个煎煎的那个皮薄一些，再放点调料，炒一炒，炒软了好吃,0,0.32244873046875,0,True,0,0,False,False,False
douyin-test-000334,56697889278,干煸豆角,1,0.7701171875,1,True,1,1,False,False,False
douyin-test-000335,56697889278,过了油的,0,0.52509765625,1,True,0,0,True,True,False
douyin-test-000340,56697889278,小贝的衬衫,1,0.56983642578125,1,True,0,0,True,False,True
douyin-test-000344,56697889278,2.28生产的,0,0.745751953125,1,True,0,0,True,True,False
douyin-test-000345,56697889278,小贝有没有对象,0,0.1894866943359375,0,True,0,0,False,False,False
douyin-test-000346,56697889278,原生,0,0.23565673828125,0,True,0,0,False,False,False
douyin-test-000348,56697889278,衣服好看,1,0.4571044921875,0,True,0,0,False,False,False
douyin-test-000350,56697889278,放水里还可以游动吗，还可以养活吗？我想放鱼塘里养大一些再吃！,1,0.2817962646484375,0,True,1,1,True,True,False
douyin-test-000355,56697889278,一套小贝你穿的外套在哪,1,0.708740234375,1,True,0,0,True,False,True
douyin-test-000356,56697889278,这是野生的还是养殖的,1,0.79072265625,1,True,1,1,False,False,False
douyin-test-000358,56697889278,宝宝零食,1,0.353216552734375,0,True,0,0,False,False,False
douyin-test-000360,56697889278,搞点普洱茶,1,0.61668701171875,1,True,1,1,False,False,False
douyin-test-000365,56697889278,是人造蛋吧,0,0.5550537109375,1,True,1,1,False,False,False
douyin-test-000368,56697889278,还跳舞吗,0,0.47991943359375,0,True,0,0,False,False,False
douyin-test-000370,56697889278,怎么保存,1,0.511962890625,1,True,1,1,False,False,False
douyin-test-000372,56697889278,大蒜,1,0.30699462890625,0,True,0,0,False,False,False
douyin-test-000381,56697889278,主播看看你的上衣,1,0.195562744140625,0,True,1,1,True,True,False
douyin-test-000387,56697889278,不咸吧,1,0.769140625,1,True,1,1,False,False,False
douyin-test-000390,56697889278,白吉馍说过了吗,1,0.21226806640625,0,True,0,0,False,False,False
douyin-test-000393,56697889278,都想看衬衣,1,0.67237548828125,1,True,1,1,False,False,False
douyin-test-000399,56697889278,多吃不胖,0,0.22342529296875,0,True,0,0,False,False,False
douyin-test-000404,56697889278,70的没有了,1,0.377960205078125,0,True,1,1,True,True,False
douyin-test-000410,56697889278,我用它做雷茄子,0,0.21259765625,0,True,0,0,False,False,False
douyin-test-000416,56697889278,皮蛋拌黄瓜要加白胡椒,0,0.8083984375,1,True,0,0,True,True,False
douyin-test-000421,56697889278,烧青椒加水豆豉,0,0.676416015625,1,True,0,0,True,True,False
douyin-test-000428,56697889278,小贝，这些产品你们都没有经验,0,0.214752197265625,0,True,0,0,False,False,False
douyin-test-000430,56697889278,生蚝已经讲过了吗,1,0.5084228515625,1,True,1,1,False,False,False
douyin-test-000438,56697889278,一个皮蛋切成四半，摆成花型，淋上调味汁，太好吃了,0,0.724609375,1,True,1,1,False,False,False
