live_id,species,user_id,user_name,gender,time,content,label
HLJ11188,户外运动,3x34enfcu5cau6s,小***,未知,2025/4/24 21:28,链接天目是多大的,1
HLJ11188,户外运动,3xb7ggkvq7wi87u,（***,未知,2025/4/24 21:28,感紧在上点高背的椅子,1
HLJ11188,户外运动,3xqmi8mrx3fwtwk,身***,未知,2025/4/24 21:28,克米特,0
HLJ11188,户外运动,3xv9rxxpv63ku2e,紫***,未知,2025/4/24 21:29,上点小孩的,1
HLJ11188,户外运动,3xjgnbysdxixssk,阿***,未知,2025/4/24 21:29,高背椅尺寸多大啊,1
HLJ11188,户外运动,3xqmi8mrx3fwtwk,身***,未知,2025/4/24 21:29,克米特上,1
HLJ11188,户外运动,3xzg5pgvb4qnags,一***,未知,2025/4/24 21:30,"他家的东西很好,买过好几单了",1
HLJ11188,户外运动,3xq9y9gxp28m3r6,风***,未知,2025/4/24 21:30,瑕疵的还有没?4块炖那个,1
HLJ11188,户外运动,3x5i7qf9arm5rdm,***,未知,2025/4/24 21:30,高背椅子4件没买上,1
HLJ11188,户外运动,3xydvrj9vcemjhs,我***,未知,2025/4/24 21:30,6666666666666666666666666[666][666][6,0
HLJ11188,户外运动,3xb8ph972z38d8i,晨***,未知,2025/4/24 21:30,"良心主播,东西不错,人也很好[玫瑰][玫瑰]",0
HLJ11188,户外运动,3xdzk84fj7pgpng,***,未知,2025/4/24 21:31,25桌子多大尺寸,1
HLJ11188,户外运动,3xhjbj2pfq8exxy,把***,未知,2025/4/24 21:31,没抢到,1
HLJ11188,户外运动,3xh9uj29c45cecs,今***,未知,2025/4/24 21:31,"没有了,再上",1
HLJ11188,户外运动,3xdzk84fj7pgpng,***,未知,2025/4/24 21:31,都不错客服也好,0
HLJ11188,户外运动,3x2hqk8yx7cyvwi,大***,未知,2025/4/24 21:32,高退桌子,0
HLJ11188,户外运动,3xqmi8mrx3fwtwk,身***,未知,2025/4/24 21:32,上克米特,1
HLJ11188,户外运动,3xwj8p45nuqreqi,墨***,未知,2025/4/24 21:32,"确实便宜,咱能把灯开开吗",1
HLJ11188,户外运动,3xzg5pgvb4qnags,一***,未知,2025/4/24 21:32,看不清,0
HLJ11188,户外运动,3xs57n4ikgdsi3q,（***,未知,2025/4/24 21:32,有木头的马扎吗,1
HLJ11188,户外运动,3xhjbj2pfq8exxy,把***,未知,2025/4/24 21:32,折叠上是什么样啊,1
HLJ11188,户外运动,3x2hqk8yx7cyvwi,大***,未知,2025/4/24 21:33,高腿桌子啥样,1
HLJ11188,户外运动,3xqmi8mrx3fwtwk,身***,未知,2025/4/24 21:33,小姐姐上克米特,0
HLJ11188,户外运动,3x5awryn6kjk58y,李***,未知,2025/4/24 21:33,帐篷上限,1
HLJ11188,户外运动,3xv9rxxpv63ku2e,紫***,未知,2025/4/24 21:33,小孩的,0
HLJ11188,户外运动,3xzvkvcjkpuk9ys,《***,未知,2025/4/24 21:33,你好刚你这买了个桌子没有凳子怎么办?,1
HLJ11188,户外运动,3x5pigfj2pjhdaa,***,未知,2025/4/24 21:33,什么时候搞点折叠烧烤炉,1
HLJ11188,户外运动,3xdzk84fj7pgpng,***,未知,2025/4/24 21:34,能看看25的小桌子多大尺寸吗,1
HLJ11188,户外运动,3xrd2c4swq3c8cw,医***,未知,2025/4/24 21:34,看看躺椅,1
HLJ11188,户外运动,3xn2kns2a6udjuk,云***,未知,2025/4/24 21:34,1.2的桌子,1
HLJ11188,户外运动,3x6uqc2957mpqqy,哆***,未知,2025/4/24 21:34,折叠床有吗?,1
HLJ11188,户外运动,3x8zg7jm94fa7ei,牛***,未知,2025/4/24 21:34,马扎尺寸多大,1
HLJ11188,户外运动,3xzvkvcjkpuk9ys,《***,未知,2025/4/24 21:34,凳子上的,0
HLJ11188,户外运动,3xb7ggkvq7wi87u,（***,未知,2025/4/24 21:34,关注了,0
HLJ11188,户外运动,3xv5dx6kg6uties,～***,未知,2025/4/24 21:34,加粉丝团了,0
HLJ11188,户外运动,3x2hqk8yx7cyvwi,大***,未知,2025/4/24 21:34,高腿桌子有多高的,1
HLJ11188,户外运动,3xcr9yu5fk8wdh2,蚂***,未知,2025/4/24 21:34,看看现在讲的马扎,1
HLJ11188,户外运动,3x5i7qf9arm5rdm,***,未知,2025/4/24 21:34,"刚刚买了桌子,高背月亮椅没买上.在上点啊",1
HLJ11188,户外运动,3xrqsfvhftqkr9q,时***,未知,2025/4/24 21:35,希望中奖,0
HLJ11188,户外运动,3xzvkvcjkpuk9ys,《***,未知,2025/4/24 21:35,关注你了,0
HLJ11188,户外运动,3x2jmacwpuhjy7u,但***,未知,2025/4/24 21:35,看看1米2的桌好点的,1
HLJ11188,户外运动,3x7ye9hkqg7a2rg,快***,未知,2025/4/24 21:35,怎么备注,0
HLJ11188,户外运动,3x2jmacwpuhjy7u,但***,未知,2025/4/24 21:35,铝合金的,1
HLJ11188,户外运动,3xb7ggkvq7wi87u,（***,未知,2025/4/24 21:35,高背的,1
HLJ11188,户外运动,3x5pigfj2pjhdaa,***,未知,2025/4/24 21:35,折叠烧烤炉,1
