case_type,row_id,label,content,context_json,qwen_background,official_background,prediction_content,prediction_content_context,prediction_content_qwen,prediction_content_official,probability_content,probability_content_context,probability_content_qwen,probability_content_official
qwen_corrects_content,douyin-test-007615,0,毛孔大出油,"[""经常在室外晒的,推荐哪一款面膜好一点??"", ""韩束需要每天敷么?"", ""耳钉是哪里买"", ""一号怎么使用"", ""亲,眼睛怎么保持清澈干净呢?""]",用户可能在询问如何改善毛孔粗大和出油的问题。,该用户可能在询问针对毛孔粗大和油性肌肤问题的护肤产品推荐。,1,1,0,1,0.6629375548743853,0.6339747456183336,0.1254730402007778,0.5509985007503597
qwen_corrects_content,douyin-test-002044,0,刘媛媛这个状态真不错,"[""对,感觉每天都没精神,乏,累"", ""完美了"", ""一路发财"", ""晚上好美女"", ""怎么吃""]",弹幕是在称赞刘媛媛当前的精神状态和表现。,该用户可能是通过夸赞主播的积极状态（如专业度、感染力等），间接表达对直播内容或推荐产品的认可与兴趣。,1,1,0,0,0.7901854632428742,0.5086409278596249,0.2567006228844647,0.2791881592480264
qwen_corrects_content,douyin-test-001097,1,蓝莓还有吧今天,"[""有无糖版的吗"", ""配料干净吗？"", ""蓝莓还有吗今天"", ""这个酸奶特好吃"", ""舞王来了没""]",询问今天是否有蓝莓库存。,该用户是在询问直播间当前是否还有蓝莓库存可供购买。,0,1,1,1,0.283207305762471,0.7883389169096628,0.7833968633312361,0.8279982593758245
qwen_corrects_content,douyin-test-000981,1,是不是预制菜,"[""传熙，玉米甜不甜"", ""这个不拉丝啊"", ""花玉米有吗"", ""水煮多长时间"", ""福临门的大米还补货吗""]",询问当前售卖的商品是否为提前加工好的食品。,该用户可能是在询问直播中展示的食品是否为预先加工好的半成品，以此判断其新鲜度和购买价值。,0,1,1,1,0.2977505496685387,0.6640607682899022,0.760622191591085,0.6682740417780357
qwen_corrects_content,douyin-test-005024,1,换包装了?,"[""一直在用的"", ""呢1抢到"", ""卸妆油卸妆油卸妆油卸妆油"", ""这过咯"", ""夏天建议用吗""]",弹幕在询问产品是否更换了包装。,该用户可能是在询问产品是否更换了包装设计，暗示对产品本身的熟悉和持续关注，并想确认当前售卖的是否为新版本。,0,1,1,0,0.4478323237374745,0.5346698384456227,0.8971194145356672,0.2817063215355453
qwen_corrects_content,douyin-test-007584,1,有祛斑功效吗,"[""极光四季精华油收到了,怎么使用?"", ""脸松,脸垮还有斑还黄,还点用什么"", ""有没有沐浴露推荐"", ""美白面膜用完洗脸吗?"", ""KK最近在哪""]",弹幕想知道这款产品是否有淡化色斑的效果。,该用户是在询问直播推荐的产品是否具备淡化色斑的效果。,0,1,1,1,0.4710203278745322,0.7660058549324014,0.9177280245739357,0.5893745823717089
qwen_corrects_content,douyin-test-007914,0,关掉美颜看看,"[""姐姐之前的睫毛膏还有吗"", ""几号是防晒呀?"", ""妆前面霜"", ""这衬衫好看"", ""洗面奶男士能用吗""]",弹幕希望主播在直播中关闭美颜功能，以更真实地展示自己的状态。,该用户可能是想确认主播的真实肤质或产品效果，对当前展示的美颜修饰存在疑虑，希望通过关闭美颜更客观地评估商品真实性。,1,1,0,0,0.7866207184731723,0.7456930317007894,0.3403846037584156,0.2077526499547369
qwen_corrects_content,douyin-test-001475,1,这是什么肉,"[""都带有调料"", ""与辉同行一路长虹"", ""想要兰考红薯"", ""辣根是啥？？？？"", ""这个很好吃，鲜[舔屏][舔屏][舔屏]""]",弹幕在询问当前展示的商品中肉类的具体种类。,该用户想询问直播中展示的肉类产品的具体种类或名称。,0,1,1,1,0.2713930876609262,0.6627751147972653,0.7069823357610895,0.7594917292783234
qwen_corrects_content,douyin-test-000779,1,宽的有么,"[""爱生活会生活"", ""花生米"", ""保质期多久"", ""与辉同行一路光明"", ""花生米哦""]",询问产品宽度是否有宽尺寸的选项。,该用户可能在询问商品是否有更宽的规格或款式可选。,0,0,1,1,0.4743182413970732,0.3941741062383952,0.9096783868799948,0.608877528581993
qwen_corrects_content,douyin-test-000091,0,小贝好看,"[""有没有婴儿吃的鳕鱼"", ""煮熟的失去Vc！"", ""苹果怎么样"", ""苹果是要1元运费"", ""没货了吗""]",弹幕是在称赞主播的外貌。,该用户想表达的含义是：称赞主播或商品的外观吸引人。,1,1,0,0,0.6536967168651968,0.5552148996760288,0.2213162623766697,0.4593807393229043
