row_id,platform,split,source_index,live_id,species,content,label,official_background,all_sequence_index,context_json,input_hash,qwen_background,generation_seconds,prompt_tokens,generated_tokens,total_duration_ns,load_duration_ns,attempts,error
douyin-train-000020,douyin,train,20,56697889278,生活日杂,大气,0,该用户可能在夸赞主播或商品的风格高端、有档次。,29,"[""有带蘸料吗？"", ""感觉好好吃"", ""家电什么时候返场"", ""下一站去哪？"", ""防晒喷雾上点，防晒喷雾上点，防晒喷雾上点""]",126c1a7bc4815aa18d52a63a9b1f8eee5b23e96e13cc84f0c0c985131fbb5328,弹幕在表达对主播或直播氛围的赞赏和认可。,5.995944300011615,124,19,5988910300,5072491900,1,
douyin-train-000088,douyin,train,88,56697889278,生活日杂,中午好！,0,该用户可能是刚进入直播间，以问候的方式表示关注或参与互动。,133,"[""焯水吗"", ""产品有问题请先找商家售后，如果商家解决达不到您满意。可以再找与辉同行客服！"", ""可以放多久"", ""帅哥"", ""有没有蓝莓树苗""]",3e25e4d8c7a6d9ae803383898db9cb485af424fe0a6d84b2a3b25d1fef99a964,弹幕是在中午时段向主播打招呼问好。,0.4893763999862131,126,16,486079700,16960500,1,
douyin-train-000111,douyin,train,111,56697889278,生活日杂,什么馅的,1,该用户是在询问直播中展示的水饺具体有哪些馅料种类。,164,"[""传熙云南行唱了彩云之南"", ""这个馅不多见"", ""不是一袋十个吗"", ""一袋10个，一共40个"", ""一袋10 个不是40 个""]",c6a10e1b62c11c886a07e14651c87a6f7f7f39af841e31f4b6437b628af11b96,弹幕在询问产品具体口味信息。,0.4362855000072159,131,14,433674000,18690100,1,
douyin-train-000147,douyin,train,147,56697889278,生活日杂,跟你哥发型一样,0,该用户可能在表达对主播当前发型的认可，暗示与某个熟悉的人（如主播的哥哥）相似，从而传递一种亲切感或赞赏。,212,"[""熙宝今天发型很乖"", ""传熙太可爱了"", ""防晒喷雾，防晒喷雾，防晒喷雾"", ""我就是"", ""乘宝贝""]",9f56d06a043be369ad020bc420f74fe99caa2f21669e22d64dd5cbeab0a59604,弹幕在夸赞主播的发型和之前提到的熙宝的发型相似，显得可爱又乖巧。,0.8114987000008114,118,29,808920900,18865900,1,
douyin-train-000222,douyin,train,222,56697889278,生活日杂,苹果烤奶的杯子在几号？,1,该用户想询问苹果烤奶配套的杯子商品在直播间的上架序号或购买链接位置。,318,"[""苹果烤奶有成品吗？"", ""贝贝，烤奶，空气炸锅烤多长时间？"", ""折耳根好吃的很呀"", ""这个苹果好吃"", ""折耳根太好吃""]",145b7e9e7ded3869474ce23f3d37dfb5d68d79e315ef86d9b8ca81ba2b0d8b94,弹幕想知道苹果烤奶使用的杯子是哪个编号的。,0.5308478000079049,131,18,527722800,18982400,1,
douyin-train-000264,douyin,train,264,56697889278,生活日杂,内蒙古怎么不发,1,该用户可能在询问为何没有内蒙古地区的商品或物流配送选项。,371,"[""小果多大"", ""我也是湖北咸宁赤壁人"", ""小米是那种黄金小米吗？"", ""苹果没有了吗？"", ""中果没有了""]",8a669b69bbc18de464103317a58e9474360935a0d0fd5f0d894c97f231b376ec,弹幕是在询问为什么没有来自内蒙古的发货信息。,0.484485200009658,119,17,481806700,14429200,1,
douyin-train-000274,douyin,train,274,56697889278,生活日杂,看看衣服后面,1,该用户想表达的含义是：希望主播展示一下衣服的背面细节。,381,"[""鲜花还有吗"", ""买了中果"", ""小果是哪个？"", ""大连拍不了"", ""没了""]",36d4d76ca2bceeba12c04e21342b12bf9e82efbe953772e54df1163b8f68effa,弹幕想了解衣服的背面细节。,0.4015570000046864,106,14,399288600,15387700,1,
douyin-train-000306,douyin,train,306,56697889278,生活日杂,看一下小果,1,该用户想表达的含义是：请主播展示或详细介绍小规格的苹果产品。,427,"[""主播看一下烤奶，刚民吃的那个？"", ""没货"", ""中午好贝贝"", ""发什么快递"", ""小果也甜""]",7dcaf864cdce57353cb140736144846d8b5ead1d83f152175616b76efc3dec3b,弹幕是在提醒主播注意之前提到的小果产品。,0.4907649999950081,114,17,488030000,16701500,1,
douyin-train-000377,douyin,train,377,56697889278,生活日杂,上一下核桃,1,该用户希望主播尽快上架或展示核桃商品以供购买。,526,"[""看一下衬衫"", ""我家猫也爱吃"", ""衬衣"", ""72号和9号哪个更甜？"", ""几号链接的瓜好吃""]",6530b08a6e7bca26501b7f6dc5aa45afbb166e7ab5bd83190d483e632ea77c14,弹幕希望主播展示一下核桃的产品。,0.4176597999903606,115,14,414718200,16974200,1,
douyin-train-000403,douyin,train,403,56697889278,生活日杂,看看衬衫,1,该用户想表达的含义是：让主播展示或详细介绍衬衫款式。,562,"[""没货了"", ""好看"", ""衬衣几号链接"", ""博洋几号更甜？"", ""主播最甜""]",a87ff81a998593a3e0099541bb3b4a9ab706f567eda67c238a1d4337c061e06f,弹幕在询问主播推荐的衬衫款式或链接。,0.5033162999898195,109,17,501490300,19250600,1,
