row_id,platform,split,source_index,live_id,species,content,label,official_background,context_json,qwen_background,generation_seconds,prompt_tokens,generated_tokens,total_duration_ns,load_duration_ns,attempts,error
douyin-train-000020,douyin,train,20,56697889278,生活日杂,大气,0,该用户可能在夸赞主播或商品的风格高端、有档次。,"[""有带蘸料吗？"", ""感觉好好吃"", ""家电什么时候返场"", ""下一站去哪？"", ""防晒喷雾上点，防晒喷雾上点，防晒喷雾上点""]",弹幕在表达对主播或直播氛围的赞赏。,0.5323956999927759,124,17,526965400,14749300,1,
douyin-train-000088,douyin,train,88,56697889278,生活日杂,中午好！,0,该用户可能是刚进入直播间，以问候的方式表示关注或参与互动。,"[""上几种夏季男款鞋"", ""今天会上橙子吗"", ""焯水吗"", ""产品有问题请先找商家售后，如果商家解决达不到您满意。可以再找与辉同行客服！"", ""可以放多久""]",弹幕是在直播开始时向主播问好。,0.5039172000106191,131,16,501512100,14530900,1,
douyin-train-000111,douyin,train,111,56697889278,生活日杂,什么馅的,1,该用户是在询问直播中展示的水饺具体有哪些馅料种类。,"[""传熙云南行唱了彩云之南"", ""这个馅不多见"", ""不是一袋十个吗"", ""一袋10个，一共40个"", ""一袋10 个不是40 个""]",弹幕在询问当前商品的具体口味或馅料类型。,0.5555375999974785,131,18,553787900,15208000,1,
douyin-train-000147,douyin,train,147,56697889278,生活日杂,跟你哥发型一样,0,该用户可能在表达对主播当前发型的认可，暗示与某个熟悉的人（如主播的哥哥）相似，从而传递一种亲切感或赞赏。,"[""熙宝今天发型很乖"", ""传熙太可爱了"", ""防晒喷雾，防晒喷雾，防晒喷雾"", ""我就是"", ""乘宝贝""]",弹幕在说主播的发型和之前提到的“跟你哥发型一样”相似。,0.7175712999887764,118,24,713574300,14927400,1,
douyin-train-000222,douyin,train,222,56697889278,生活日杂,苹果烤奶的杯子在几号？,1,该用户想询问苹果烤奶配套的杯子商品在直播间的上架序号或购买链接位置。,"[""今天喝了"", ""好吃？"", ""苹果烤奶有成品吗？"", ""这个苹果好吃"", ""折耳根太好吃""]",弹幕想知道苹果烤奶所用杯子的编号。,0.5344056999892928,115,17,531922200,18537300,1,
douyin-train-000264,douyin,train,264,56697889278,生活日杂,内蒙古怎么不发,1,该用户可能在询问为何没有内蒙古地区的商品或物流配送选项。,"[""还会上鲜花吗？"", ""小果多大"", ""我也是湖北咸宁赤壁人"", ""苹果没有了吗？"", ""中果没有了""]",弹幕在询问为什么没有内蒙古的发货信息。,0.5211670999997295,117,16,519105100,15092200,1,
douyin-train-000274,douyin,train,274,56697889278,生活日杂,看看衣服后面,1,该用户想表达的含义是：希望主播展示一下衣服的背面细节。,"[""鲜花还有吗"", ""买了中果"", ""小果是哪个？"", ""大连拍不了"", ""没了""]",弹幕想了解衣服的背面细节。,0.42649709999386687,106,14,424524400,14209600,1,
douyin-train-000306,douyin,train,306,56697889278,生活日杂,看一下小果,1,该用户想表达的含义是：请主播展示或详细介绍小规格的苹果产品。,"[""颜色好"", ""再看一眼小果"", ""没货"", ""发什么快递"", ""小果也甜""]",想再确认小果的外观和品质。,0.4598329000000376,107,15,458417800,14264600,1,
douyin-train-000377,douyin,train,377,56697889278,生活日杂,上一下核桃,1,该用户希望主播尽快上架或展示核桃商品以供购买。,"[""看看衬衣"", ""生活有点甜"", ""我家猫也爱吃"", ""衬衣"", ""72号和9号哪个更甜？""]",弹幕是在询问主播能否展示一下核桃的产品。,0.48715339999762364,112,16,485173300,15413900,1,
douyin-train-000403,douyin,train,403,56697889278,生活日杂,看看衬衫,1,该用户想表达的含义是：让主播展示或详细介绍衬衫款式。,"[""拍不了，加单"", ""没货了"", ""好看"", ""衬衣几号链接"", ""主播最甜""]",想了解衬衫的款式或详情,0.37377040000865236,107,12,371630000,12882400,1,
douyin-train-000412,douyin,train,412,56697889278,生活日杂,都甜,0,该用户是在询问主播当前展示的商品中哪一种口感更甜。,"[""外套看一下后面"", ""杯子杯子"", ""北京下雪啦，小贝快出来感受一下"", ""没了没了没了"", ""保温杯看看""]",弹幕在表达对商品甜度的满意和喜爱。,0.5434858000080567,112,18,540870800,16390500,1,
douyin-train-000602,douyin,train,602,56697889278,生活日杂,甜吗,1,该用户是在询问直播中展示的水果或甜食的口感是否足够甜。,"[""无限回购"", ""是新鲜的玉米吗？"", ""鲜花饼还上吗？"", ""我是重度玉米爱好者，宇辉家的玉米买过很多次了，都很好吃"", ""怎么购物车里没有牛肉了""]",弹幕在询问玉米的甜度。,0.4395921000104863,130,14,436790900,13909500,1,
